nn(Transcript-2, Debate-1)
root(ROOT-0, Transcript-2)

nn(2004-4, October-1)
num(October-1, 13-2)
punct(2004-4, ,-3)
root(ROOT-0, 2004-4)

det(Debate-7, The-1)
amod(Debate-7, Third-2)
nn(Kerry-5, Bush-3)
punct(Kerry-5, --4)
nn(Debate-7, Kerry-5)
amod(Debate-7, Presidential-6)
root(ROOT-0, Debate-7)

amod(DEBATE-5, THIRD-1)
amod(CANDIDATES-3, PRESIDENTIAL-2)
nn(DEBATE-5, CANDIDATES-3)
punct(DEBATE-5, '-4)
root(ROOT-0, DEBATE-5)

nn(UNIVERSITY-3, ARIZONA-1)
nn(UNIVERSITY-3, STATE-2)
root(ROOT-0, UNIVERSITY-3)
punct(UNIVERSITY-3, ,-4)
dep(UNIVERSITY-3, TEMPE-5)
punct(UNIVERSITY-3, ,-6)
dep(UNIVERSITY-3, ARIZONA-7)

root(ROOT-0, SPEAKERS-1)
nn(BUSH-4, GEORGE-2)
nn(BUSH-4, W.-3)
dep(SPEAKERS-1, BUSH-4)
dep(BUSH-4, PRESIDENT-5)
prep(PRESIDENT-5, OF-6)
det(STATES-9, THE-7)
nn(STATES-9, UNITED-8)
pobj(OF-6, STATES-9)
nn(S.-11, U.-10)
nn(SENATOR-12, S.-11)
dep(BUSH-4, SENATOR-12)
nn(KERRY-15, JOHN-13)
nn(KERRY-15, F.-14)
dep(SENATOR-12, KERRY-15)
dep(KERRY-15, MA-16)
amod(NOMINEE-19, DEMOCRATIC-17)
amod(NOMINEE-19, PRESIDENTIAL-18)
dep(SENATOR-12, NOMINEE-19)

nn(SCHIEFFER-2, BOB-1)
root(ROOT-0, SCHIEFFER-2)
nn(ANCHOR-4, CBS-3)
dep(SCHIEFFER-2, ANCHOR-4)

amod(evening-2, Good-1)
root(ROOT-0, evening-2)
prep(evening-2, from-3)
nn(State-5, Arizona-4)
nn(University-6, State-5)
pobj(from-3, University-6)
prep(evening-2, in-7)
nn(Arizona-10, Tempe-8)
punct(Arizona-10, ,-9)
pobj(in-7, Arizona-10)
punct(evening-2, .-11)

nsubj(Schieffer-4, I-1)
cop(Schieffer-4, 'm-2)
nn(Schieffer-4, Bob-3)
root(ROOT-0, Schieffer-4)
prep(Schieffer-4, of-5)
nn(News-7, CBS-6)
pobj(of-5, News-7)
punct(Schieffer-4, .-8)

nsubj(want-2, I-1)
root(ROOT-0, want-2)
aux(welcome-4, to-3)
xcomp(want-2, welcome-4)
dobj(welcome-4, you-5)
prep(welcome-4, to-6)
det(third-8, the-7)
pobj(to-6, third-8)
cc(third-8, and-9)
conj(third-8, last-10)
prep(third-8, of-11)
det(debates-14, the-12)
nn(debates-14, 2004-13)
pobj(of-11, debates-14)
prep(debates-14, between-15)
nn(Bush-18, President-16)
nn(Bush-18, George-17)
pobj(between-15, Bush-18)
cc(Bush-18, and-19)
nn(Kerry-22, Senator-20)
nn(Kerry-22, John-21)
conj(Bush-18, Kerry-22)
punct(want-2, .-23)

mark(told-4, As-1)
nn(Lehrer-3, Jim-2)
nsubj(told-4, Lehrer-3)
advcl(sponsored-14, told-4)
dobj(told-4, you-5)
prep(told-4, before-6)
det(one-9, the-7)
amod(one-9, first-8)
pobj(before-6, one-9)
punct(sponsored-14, ,-10)
det(debates-12, these-11)
nsubjpass(sponsored-14, debates-12)
auxpass(sponsored-14, are-13)
root(ROOT-0, sponsored-14)
prep(sponsored-14, by-15)
det(Commission-17, the-16)
pobj(by-15, Commission-17)
prep(Commission-17, on-18)
nn(Debates-20, Presidential-19)
pobj(on-18, Debates-20)
punct(sponsored-14, .-21)

tmod(affairs-7, Tonight-1)
det(topic-3, the-2)
nsubj(affairs-7, topic-3)
aux(affairs-7, will-4)
cop(affairs-7, be-5)
amod(affairs-7, domestic-6)
root(ROOT-0, affairs-7)
punct(affairs-7, ,-8)
cc(affairs-7, but-9)
det(format-11, the-10)
nsubj(same-15, format-11)
aux(same-15, will-12)
cop(same-15, be-13)
det(same-15, the-14)
conj(affairs-7, same-15)
prep(same-15, as-16)
det(debate-19, that-17)
amod(debate-19, first-18)
pobj(as-16, debate-19)
punct(affairs-7, .-20)

nsubj(moderate-3, I-1)
aux(moderate-3, 'll-2)
root(ROOT-0, moderate-3)
poss(discussion-5, our-4)
dobj(moderate-3, discussion-5)
prep(moderate-3, under-6)
amod(rules-8, detailed-7)
pobj(under-6, rules-8)
vmod(rules-8, agreed-9)
prep(agreed-9, to-10)
prep(agreed-9, by-11)
det(candidates-13, the-12)
pobj(by-11, candidates-13)
punct(moderate-3, ,-14)
