advmod(soon-2, How-1)
advmod(is-3, soon-2)
root(ROOT-0, is-3)
advmod(is-3, now-4)
punct(is-3, ?-5)

dep(Archive-3, "-1)
nn(Archive-3, Blog-2)
root(ROOT-0, Archive-3)
dep(Archive-3, "-4)

root(ROOT-0, Zombies-1)
cc(Zombies-1, and-2)
conj(Zombies-1, Vampires-3)
cc(Zombies-1, and-4)
conj(Zombies-1, Ninjas-5)
cc(Zombies-1, and-6)
conj(Zombies-1, Pirates-7)

num(Jul-2, 25-1)
nn(2010-3, Jul-2)
root(ROOT-0, 2010-3)
prep(2010-3, by-4)
pobj(by-4, Rick-5)

nsubj(tough-3, It-1)
cop(tough-3, 's-2)
root(ROOT-0, tough-3)
aux(kill-5, to-4)
xcomp(tough-3, kill-5)
det(genre-9, the-6)
nn(genre-9, vampire-7)
punct(genre-9, ...-8)
dobj(kill-5, genre-9)

nsubj(noodling-3, I-1)
aux(noodling-3, was-2)
root(ROOT-0, noodling-3)
prep(noodling-3, on-4)
pobj(on-4, Vampires-5)
det(day-8, the-6)
amod(day-8, other-7)
tmod(noodling-3, day-8)
punct(noodling-3, ,-9)
cc(also-11, but-10)
cc(noodling-3, also-11)
conj(noodling-3, lumped-12)
dobj(lumped-12, Zombies-13)
punct(Zombies-13, ,-14)
conj(Zombies-13, Pirates-15)
cc(Zombies-13, and-16)
conj(Zombies-13, Ninjas-17)
prep(lumped-12, in-18)
det(mix-20, the-19)
pobj(in-18, mix-20)
punct(noodling-3, .-21)

det(archetypes-2, These-1)
nsubj(seem-3, archetypes-2)
root(ROOT-0, seem-3)
acomp(seem-3, different-4)
prep(seem-3, to-5)
pobj(to-5, me-6)
prep(seem-3, than-7)
amod(trends-10, other-8)
dep(trends-10, '-9)
pobj(than-7, trends-10)
dep(seem-3, '-11)
punct(seem-3, .-12)

advmod(dead-5, Surely-1)
det(Vampire-3, the-2)
nsubj(dead-5, Vampire-3)
cop(dead-5, was-4)
root(ROOT-0, dead-5)
prep(dead-5, after-6)
det(spoof-8, the-7)
pobj(after-6, spoof-8)
punct(spoof-8, ,-9)
dep(spoof-8, "-10)
dep(spoof-8, Love-11)
prep(Love-11, at-12)
amod(Bite-14, First-13)
pobj(at-12, Bite-14)
dep(dead-5, "-15)
prep(dead-5, in-16)
pobj(in-16, 1979-17)
punct(dead-5, .-18)

cc(brought-9, But-1)
advmod(brought-9, then-2)
det(revival-8, the-3)
nn(Rice-5, Anne-4)
dep(led-7, Rice-5)
punct(led-7, --6)
amod(revival-8, led-7)
nsubj(brought-9, revival-8)
root(ROOT-0, brought-9)
dobj(brought-9, it-10)
advmod(brought-9, back-11)
advmod(published-23, technically-12)
det(book-15, the-13)
amod(book-15, 1st-14)
nsubjpass(published-23, book-15)
punct(book-15, ,-16)
appos(book-15, Interview-17)
prep(Interview-17, with-18)
det(Vampire-20, the-19)
pobj(with-18, Vampire-20)
punct(published-23, ,-21)
auxpass(published-23, was-22)
parataxis(brought-9, published-23)
prep(published-23, in-24)
pobj(in-24, 1976-25)
punct(published-23, ,-26)
cc(published-23, but-27)
aux(gain-30, did-28)
neg(gain-30, n't-29)
conj(published-23, gain-30)
amod(popularity-32, widespread-31)
dobj(gain-30, popularity-32)
prep(gain-30, until-33)
pcomp(until-33, later-34)
punct(brought-9, .-35)

advmod(jumped-3, Then-1)
nsubj(jumped-3, it-2)
root(ROOT-0, jumped-3)
det(shark-5, the-4)
dobj(jumped-3, shark-5)
prep(jumped-3, with-6)
det(movie-13, the-7)
nn(Cruise-9, Tom-8)
dep(Pitt-12, Cruise-9)
punct(Pitt-12, --10)
nn(Pitt-12, Brad-11)
nn(movie-13, Pitt-12)
pobj(with-6, movie-13)
vmod(movie-13, based-14)
prep(based-14, on-15)
det(novel-19, the-16)
nn(Rice-18, Anne-17)
nn(novel-19, Rice-18)
pobj(on-15, novel-19)
prep(jumped-3, in-20)
pobj(in-20, 1994-21)
punct(jumped-3, .-22)

cc(hit-15, But-1)
dep(hit-15, bubbling-2)
prep(bubbling-2, below-3)
det(surface-5, the-4)
pobj(below-3, surface-5)
aux(bubbling-2, was-6)
nsubj(bubbling-2, Blade-7)
cc(Blade-7, and-8)
amod(flicks-11, other-9)
nn(flicks-11, genre-10)
conj(Blade-7, flicks-11)
punct(hit-15, ,-12)
advmod(hit-15, then-13)
nsubj(hit-15, Twilight-14)
root(ROOT-0, hit-15)
cc(hit-15, and-16)
advmod(hot-20, now-17)
nsubj(hot-20, vampires-18)
cop(hot-20, are-19)
conj(hit-15, hot-20)
punct(hit-15, .-21)

advmod(done-4, Surely-1)
nsubjpass(done-4, Ninjas-2)
auxpass(done-4, were-3)
root(ROOT-0, done-4)
prep(done-4, with-5)
amod(movies-7, horrible-6)
pobj(with-5, movies-7)
prep(movies-7, like-8)
amod(Ninja-10, American-9)
pobj(like-8, Ninja-10)
dep(Ninja-10, 1985-11)
cc(with-5, or-12)
conj(with-5, with-13)
pobj(with-13, comedies-14)
vmod(comedies-14, starring-15)
nn(Farley-17, Chris-16)
dobj(starring-15, Farley-17)
nn(Hills-19, Beverly-18)
nn(Ninja-20, Hills-19)
dep(comedies-14, Ninja-20)
punct(Ninja-20, ,-21)
dep(Ninja-20, 1997-22)
punct(done-4, ,-23)
cc(done-4, and-24)
advmod(become-28, yet-25)
nsubj(become-28, Ninja-26)
aux(become-28, has-27)
conj(done-4, become-28)
det(word-31, a-29)
nn(word-31, replacement-30)
